SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,CREDIT_TERM
101098,Cash loans,F,Y,N,1,180000.0,1096020.0,59589.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.0196889999999999,-11215,-298.0,-5056.0,-3702,8.0,1,1,0,1,0,1,Sales staff,3.0,2,THURSDAY,7,0,0,0,0,0,0,Business Entity Type 3,,0.7190967411117091,0.4596904504249018,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-1554.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,6.089,0.33105,0.054368533420922974
327727,Cash loans,F,N,N,1,90000.0,760500.0,22234.5,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.030755,-19943,-7344.0,-10427.0,-3423,,1,1,0,1,0,0,Secretaries,3.0,2,TUESDAY,10,0,0,0,0,0,0,Medicine,,0.6781868079688055,0.5531646987710016,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-1372.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.45,0.24705,0.029236686390532545
312519,Cash loans,M,Y,N,0,65700.0,508495.5,20295.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.030755,-23595,,-3891.0,-3890,30.0,1,0,0,1,0,0,,2.0,2,TUESDAY,13,0,0,0,0,0,0,XNA,,0.6723849604396847,0.6144143775673561,0.1416,0.1122,0.9846,0.7892,0.0051,0.0932,0.2183,0.2221,0.2638,0.0792,0.0013,0.0085,reg oper spec account,block of flats,Panel,No,2.0,0.0,0.0,-273.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,7.739657534246575,0.3089041095890411,0.03991185762705864
242347,Revolving loans,F,N,N,0,108000.0,315000.0,15750.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.001276,-20450,-1071.0,-2781.0,-3446,,1,1,1,1,1,0,,2.0,2,THURSDAY,5,0,0,0,0,0,0,Government,,0.4147818540559113,,0.033,0.0,0.9801,0.728,0.0028,0.0,0.069,0.125,0.1667,0.0187,0.0154,0.0112,reg oper account,block of flats,Block,No,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2.9166666666666665,0.14583333333333334,0.05
269090,Cash loans,M,Y,Y,1,315000.0,1125000.0,47794.5,Family,Commercial associate,Higher education,Married,House / apartment,0.0196889999999999,-10398,-634.0,-5019.0,-2766,2.0,1,1,0,1,0,0,Managers,3.0,2,FRIDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.3791383834934871,0.2858978721410488,0.3876253444214701,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.5714285714285716,0.15172857142857143,0.042484
383626,Cash loans,F,N,N,0,135000.0,675000.0,19345.5,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.0196889999999999,-22514,-15699.0,-1104.0,-4929,,1,1,1,1,1,0,Accountants,1.0,2,MONDAY,12,0,0,0,0,0,0,Business Entity Type 2,,0.2776667317418485,0.5352762504724826,,,,,,,,,,,,,,,,,4.0,0.0,0.0,-2610.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.1433,0.02866
380100,Cash loans,M,Y,Y,0,112500.0,268659.0,29061.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-17806,-1685.0,-2482.0,-1361,5.0,1,1,0,1,0,0,Security staff,2.0,3,TUESDAY,9,0,0,0,0,0,0,Agriculture,,0.7397324081590397,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-424.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2.38808,0.25832,0.10817058055006533
291043,Cash loans,F,N,N,0,180000.0,2013840.0,53253.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.010147,-15501,-1902.0,-2769.0,-2870,,1,1,0,1,0,0,Sales staff,2.0,2,TUESDAY,18,0,0,0,0,0,0,Self-employed,,0.4395724139638391,0.6347055309763198,0.0082,,0.9776,,,0.0,0.0345,0.0417,,,,,,block of flats,"Stone, brick",No,2.0,0.0,0.0,-974.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0,11.188,0.29585,0.026443510904540578
208180,Cash loans,F,N,Y,2,90000.0,909000.0,26707.5,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.00702,-12174,-335.0,-381.0,-3273,,1,1,0,1,0,0,,4.0,2,TUESDAY,14,0,0,0,0,0,0,School,,0.2186072767727359,0.4848514754962666,,,,,,,,,,,,,,,,,2.0,0.0,0.0,-143.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,10.1,0.29675,0.02938118811881188
298950,Cash loans,M,Y,Y,0,157500.0,276277.5,22279.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-15476,-2141.0,-4820.0,-4763,6.0,1,1,0,1,1,0,Drivers,2.0,2,SATURDAY,9,0,0,0,0,1,1,Transport: type 4,,0.7327001517115781,0.0005272652387098,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-1995.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.7541428571428572,0.14145714285714286,0.08064174607052692
